In,Out,Date,Time,Branch,Group
47,35,12/27/2024,10:00 AM,Liberty Park,LP Main
47,29,12/27/2024,10:00 AM,Indian Trail,IT Main
27,11,12/27/2024,10:00 AM,Hillyard,HY North
135,82,12/27/2024,10:00 AM,Central,1st Floor Main Entrance
33,17,12/27/2024,9:00 AM,South Hill,SO Main
2,1,12/27/2024,9:00 AM,Liberty Park,LP Main
4,7,12/27/2024,9:00 AM,Indian Trail,IT Main
1,3,12/27/2024,9:00 AM,Hillyard,HY North
29,22,12/27/2024,9:00 AM,Central,1st Floor Main Entrance
6,10,12/27/2024,8:00 AM,South Hill,SO Main
1,0,12/27/2024,8:00 AM,Shadle Park,SH East
9,5,12/27/2024,8:00 AM,Liberty Park,LP Main
1,0,12/27/2024,8:00 AM,Indian Trail,IT Main
13,20,12/27/2024,8:00 AM,Hillyard,HY North
10,10,12/27/2024,8:00 AM,Central,Basement Entrance
9,11,12/27/2024,7:00 AM,Liberty Park,LP Main
1,1,12/27/2024,7:00 AM,Indian Trail,IT Main
4,3,12/27/2024,7:00 AM,Hillyard,HY South
6,6,12/27/2024,7:00 AM,Central,Basement Entrance
1,0,12/27/2024,6:00 AM,Shadle Park,SH East
2,2,12/27/2024,5:00 AM,Central,Basement Entrance
1,2,12/26/2024,10:00 PM,Central,Basement Entrance
14,24,12/26/2024,8:00 PM,Central,1st Floor Main Entrance
0,2,12/26/2024,7:00 PM,Liberty Park,LP Main
0,2,12/26/2024,7:00 PM,Hillyard,HY North
17,31,12/26/2024,7:00 PM,Central,1st Floor Main Entrance
7,31,12/26/2024,6:00 PM,South Hill,SO Main
22,42,12/26/2024,6:00 PM,Shadle Park,SH East
2,12,12/26/2024,6:00 PM,Liberty Park,LP Main
4,6,12/26/2024,6:00 PM,Indian Trail,IT Main
0,6,12/26/2024,6:00 PM,Hillyard,HY North
42,95,12/26/2024,6:00 PM,Central,1st Floor Main Entrance
23,25,12/26/2024,5:00 PM,South Hill,SO Main
20,34,12/26/2024,5:00 PM,Shadle Park,SH East
6,10,12/26/2024,5:00 PM,Liberty Park,LP Main
9,9,12/26/2024,5:00 PM,Indian Trail,IT Main
2,1,12/26/2024,5:00 PM,Hillyard,HY North
45,77,12/26/2024,5:00 PM,Central,1st Floor Main Entrance
39,56,12/26/2024,4:00 PM,South Hill,SO Main
40,39,12/26/2024,4:00 PM,Shadle Park,SH East
12,12,12/26/2024,4:00 PM,Liberty Park,LP Main
13,17,12/26/2024,4:00 PM,Indian Trail,IT Main
11,30,12/26/2024,4:00 PM,Hillyard,HY North
86,100,12/26/2024,4:00 PM,Central,1st Floor Main Entrance
68,71,12/26/2024,3:00 PM,South Hill,SO Main
79,106,12/26/2024,3:00 PM,Shadle Park,SH East
3,19,12/26/2024,3:00 PM,Liberty Park,LP Main
17,16,12/26/2024,3:00 PM,Indian Trail,IT Main
27,22,12/26/2024,3:00 PM,Hillyard,HY North
103,144,12/26/2024,3:00 PM,Central,1st Floor Main Entrance
69,50,12/26/2024,2:00 PM,South Hill,SO Main
